"","carat","clarity","carat_clarity","mean_price","mean_table","mean_length","mean_width","mean_depth","mean_depth_percent","mean_volume","mean_price_per_volume"
"267",0.58,"IF","0.58_IF",2476.67,56.83,5.37,5.41,3.29,61.12,95.58,25.91
"268",0.58,"SI1","0.58_SI1",1475.92,56.98,5.37,5.38,3.3,61.46,95.34,15.48
"269",0.58,"SI2","0.58_SI2",1306.33,57.03,5.36,5.36,3.32,61.88,95.38,13.7
"270",0.58,"VS1","0.58_VS1",2027.28,56.89,5.37,5.38,3.3,61.39,95.34,21.26
"271",0.58,"VS2","0.58_VS2",1759.34,56.77,5.37,5.38,3.31,61.49,95.63,18.4
"272",0.58,"VVS1","0.58_VVS1",2352,56.82,5.34,5.36,3.31,61.89,94.74,24.83
"273",0.58,"VVS2","0.58_VVS2",2294.74,56.87,5.36,5.37,3.31,61.7,95.27,24.09
"274",0.59,"I1","0.59_I1",921.5,57.5,5.37,5.32,3.32,62.15,94.85,9.72
"275",0.59,"IF","0.59_IF",2837.62,57.77,5.39,5.42,3.32,61.38,96.99,29.26
"276",0.59,"SI1","0.59_SI1",1613.53,56.84,5.38,5.39,3.33,61.91,96.56,16.71
"277",0.59,"SI2","0.59_SI2",1310.15,57.15,5.4,5.4,3.32,61.56,96.81,13.53
"278",0.59,"VS1","0.59_VS1",1925.96,56.97,5.39,5.4,3.33,61.59,96.92,19.87
"279",0.59,"VS2","0.59_VS2",1781.9,57.08,5.39,5.4,3.33,61.69,96.92,18.39
"280",0.59,"VVS1","0.59_VVS1",2302.56,56.28,5.38,5.4,3.34,61.95,97.03,23.73
"281",0.59,"VVS2","0.59_VVS2",2313.47,56.59,5.39,5.4,3.33,61.73,96.92,23.87
"282",0.6,"I1","0.6_I1",820.5,61,5.42,5.36,3.3,61.1,95.87,8.56
"283",0.6,"IF","0.6_IF",2632.2,55.2,5.42,5.47,3.35,61.56,99.32,26.5
"284",0.6,"SI1","0.6_SI1",1666.13,57.76,5.42,5.42,3.34,61.63,98.12,16.98
"285",0.6,"SI2","0.6_SI2",1286.45,57.5,5.42,5.41,3.35,61.8,98.23,13.1
"286",0.6,"VS1","0.6_VS1",2077.47,57.34,5.43,5.46,3.33,61.16,98.73,21.04
"287",0.6,"VS2","0.6_VS2",1942.28,57.09,5.43,5.45,3.34,61.49,98.84,19.65
"288",0.6,"VVS1","0.6_VVS1",2950.88,55.87,5.42,5.44,3.35,61.62,98.77,29.88
"289",0.6,"VVS2","0.6_VVS2",2467.21,57.44,5.42,5.43,3.34,61.58,98.3,25.1
"290",0.61,"I1","0.61_I1",1118,57.1,5.41,5.43,3.39,62.67,99.59,11.23
"291",0.61,"IF","0.61_IF",2593.22,56.16,5.44,5.5,3.37,61.6,100.83,25.72
"292",0.61,"SI1","0.61_SI1",1676.91,57.26,5.45,5.46,3.35,61.47,99.69,16.82
"293",0.61,"SI2","0.61_SI2",1528.06,57.81,5.47,5.48,3.34,61.1,100.12,15.26
"294",0.61,"VS1","0.61_VS1",2155.35,57.39,5.45,5.47,3.36,61.45,100.17,21.52
"295",0.61,"VS2","0.61_VS2",1873.48,57.29,5.46,5.47,3.36,61.5,100.35,18.67
"296",0.61,"VVS1","0.61_VVS1",2767.64,56.36,5.45,5.48,3.37,61.64,100.65,27.5
"297",0.61,"VVS2","0.61_VVS2",2563.28,56.47,5.46,5.48,3.36,61.43,100.53,25.5
"298",0.62,"I1","0.62_I1",933,60,5.65,5.54,3.29,58.9,102.98,9.06
"299",0.62,"IF","0.62_IF",2766.7,57.1,5.51,5.54,3.36,60.83,102.57,26.97
"300",0.62,"SI1","0.62_SI1",1661.23,57.81,5.51,5.5,3.37,61.23,102.13,16.27
"301",0.62,"SI2","0.62_SI2",1394.73,58.09,5.5,5.48,3.36,61.24,101.27,13.77
"302",0.62,"VS1","0.62_VS1",2133.07,56.99,5.5,5.49,3.38,61.44,102.06,20.9
"303",0.62,"VS2","0.62_VS2",1869.19,58.42,5.5,5.5,3.36,61.07,101.64,18.39
"304",0.62,"VVS1","0.62_VVS1",2721,56.57,5.49,5.49,3.4,61.89,102.48,26.55
"305",0.62,"VVS2","0.62_VVS2",2418.12,57.99,5.5,5.52,3.36,60.92,102.01,23.7
"306",0.63,"IF","0.63_IF",4272.88,57.38,5.54,5.56,3.39,61.02,104.42,40.92
"307",0.63,"SI1","0.63_SI1",1787.65,57.23,5.52,5.52,3.4,61.65,103.6,17.26
"308",0.63,"SI2","0.63_SI2",1282.56,58.03,5.5,5.47,3.39,61.76,101.99,12.58
"309",0.63,"VS1","0.63_VS1",2237.1,57.63,5.52,5.53,3.38,61.2,103.18,21.68
"310",0.63,"VS2","0.63_VS2",2062.09,57.28,5.53,5.53,3.4,61.43,103.98,19.83
"311",0.63,"VVS1","0.63_VVS1",2609.14,58.57,5.49,5.51,3.39,61.63,102.55,25.44
"312",0.63,"VVS2","0.63_VVS2",2677.73,56.84,5.48,5.48,3.41,62.24,102.4,26.15
"313",0.64,"I1","0.64_I1",1140,64,5.75,5.69,3.28,57.3,107.31,10.62
"314",0.64,"IF","0.64_IF",2628.2,57.2,5.57,5.61,3.4,60.82,106.24,24.74
"315",0.64,"SI1","0.64_SI1",1821.12,57.62,5.56,5.55,3.41,61.38,105.23,17.31
"316",0.64,"SI2","0.64_SI2",1306.25,55.38,5.53,5.56,3.43,61.91,105.46,12.39
"317",0.64,"VS1","0.64_VS1",2187.5,57.51,5.56,5.6,3.4,60.9,105.86,20.66
"318",0.64,"VS2","0.64_VS2",2103.95,58.08,5.56,5.57,3.4,61.11,105.3,19.98
"319",0.64,"VVS1","0.64_VVS1",3104.6,55.8,5.54,5.57,3.43,61.7,105.84,29.33
"320",0.64,"VVS2","0.64_VVS2",2765.1,56.5,5.54,5.57,3.41,61.46,105.23,26.28
"321",0.65,"IF","0.65_IF",3279.25,55.75,5.6,5.64,3.44,61.23,108.65,30.18
"322",0.65,"SI1","0.65_SI1",1739.11,57.51,5.59,5.59,3.41,60.98,106.56,16.32
"323",0.65,"SI2","0.65_SI2",1504.25,58,5.57,5.55,3.43,61.67,106.03,14.19
"324",0.65,"VS1","0.65_VS1",2315.7,58.86,5.59,5.62,3.41,60.83,107.13,21.62
"325",0.65,"VS2","0.65_VS2",2109.5,58.31,5.59,5.59,3.43,61.33,107.18,19.68
"326",0.65,"VVS1","0.65_VVS1",3059.22,56.56,5.55,5.56,3.42,61.61,105.53,28.99
"327",0.65,"VVS2","0.65_VVS2",2874.7,58.23,5.59,5.63,3.41,60.72,107.32,26.79
"328",0.66,"IF","0.66_IF",3051,59,5.69,5.74,3.46,60.5,113.01,27
"329",0.66,"SI1","0.66_SI1",1794.58,57.09,5.62,5.63,3.45,61.3,109.16,16.44
"330",0.66,"SI2","0.66_SI2",1556,55.55,5.61,5.62,3.47,61.8,109.4,14.22
"331",0.66,"VS1","0.66_VS1",2287.77,58.72,5.61,5.64,3.42,60.84,108.21,21.14
"332",0.66,"VS2","0.66_VS2",2102.33,56.78,5.58,5.61,3.45,61.73,108,19.47
"333",0.66,"VVS1","0.66_VVS1",2840.67,56.67,5.6,5.63,3.47,61.73,109.4,25.97
"334",0.66,"VVS2","0.66_VVS2",3220.17,57.67,5.62,5.64,3.44,61.15,109.04,29.53
"335",0.67,"IF","0.67_IF",2668.5,55.5,5.6,5.65,3.46,61.5,109.47,24.38
"336",0.67,"SI1","0.67_SI1",1842.64,59,5.65,5.65,3.44,60.86,109.81,16.78
"337",0.67,"SI2","0.67_SI2",1600,56.75,5.59,5.58,3.53,63.17,110.11,14.53
"338",0.67,"VS1","0.67_VS1",2187.71,59.47,5.59,5.63,3.48,62.06,109.52,19.98
"339",0.67,"VS2","0.67_VS2",2059.61,60.03,5.65,5.66,3.43,60.72,109.69,18.78
"340",0.67,"VVS1","0.67_VVS1",2877.5,55.5,5.6,5.62,3.49,62.2,109.84,26.2
"341",0.67,"VVS2","0.67_VVS2",2277.25,58.25,5.63,5.63,3.43,60.85,108.72,20.95
"342",0.68,"IF","0.68_IF",3143,56,5.56,5.6,3.5,62.7,108.98,28.84
"343",0.68,"SI1","0.68_SI1",1876.9,60.69,5.73,5.72,3.42,59.75,112.09,16.74
"344",0.68,"SI2","0.68_SI2",1821,54.5,5.61,5.64,3.55,63.1,112.32,16.21
"345",0.68,"VS1","0.68_VS1",2426.86,58.54,5.71,5.7,3.45,60.51,112.29,21.61
"346",0.68,"VS2","0.68_VS2",2060.5,58,5.66,5.64,3.49,61.65,111.41,18.49
"347",0.68,"VVS1","0.68_VVS1",3775,56,5.64,5.69,3.49,61.6,112,33.71
"348",0.68,"VVS2","0.68_VVS2",2983,58.5,5.75,5.76,3.42,59.5,113.27,26.34
"349",0.69,"SI1","0.69_SI1",1986.8,58.39,5.69,5.71,3.49,61.29,113.39,17.52
"350",0.69,"SI2","0.69_SI2",1701,58.5,5.6,5.54,3.56,64.05,110.45,15.4
"351",0.69,"VS1","0.69_VS1",2009,64.06,5.73,5.72,3.42,59.86,112.09,17.92
"352",0.69,"VS2","0.69_VS2",2008.75,60,5.7,5.68,3.47,60.95,112.34,17.88
"353",0.69,"VVS1","0.69_VVS1",3553.5,55.5,5.72,5.74,3.5,61.2,114.91,30.92
"354",0.69,"VVS2","0.69_VVS2",2971.67,58.23,5.62,5.68,3.52,62.27,112.36,26.45
"355",0.7,"I1","0.7_I1",1137.66,58.82,5.63,5.52,3.58,64.12,111.26,10.23
"356",0.7,"IF","0.7_IF",3519.81,58.12,5.69,5.72,3.49,61.29,113.59,30.99
"357",0.7,"SI1","0.7_SI1",2356.4,58.12,5.68,5.69,3.52,61.91,113.76,20.71
"358",0.7,"SI2","0.7_SI2",2116.07,58.22,5.69,5.68,3.51,61.7,113.44,18.65
"359",0.7,"VS1","0.7_VS1",2805.78,57.89,5.68,5.7,3.52,61.82,113.96,24.62
"360",0.7,"VS2","0.7_VS2",2595.06,57.81,5.68,5.69,3.52,61.85,113.76,22.81
"361",0.7,"VVS1","0.7_VVS1",3207.49,57.85,5.69,5.71,3.51,61.66,114.04,28.13
"362",0.7,"VVS2","0.7_VVS2",3023.98,57.63,5.69,5.7,3.52,61.82,114.16,26.49
"363",0.71,"I1","0.71_I1",1641.33,58.33,5.74,5.68,3.48,61,113.46,14.47
"364",0.71,"IF","0.71_IF",3375.38,58.05,5.74,5.77,3.53,61.34,116.91,28.87
"365",0.71,"SI1","0.71_SI1",2457.3,57.76,5.72,5.73,3.53,61.67,115.7,21.24
"366",0.71,"SI2","0.71_SI2",2214.62,57.62,5.72,5.72,3.53,61.76,115.5,19.17
"367",0.71,"VS1","0.71_VS1",2937.44,57.1,5.72,5.73,3.54,61.83,116.03,25.32
"368",0.71,"VS2","0.71_VS2",2736.42,57.87,5.72,5.73,3.53,61.8,115.7,23.65
"369",0.71,"VVS1","0.71_VVS1",3327.35,57.06,5.71,5.73,3.54,61.93,115.82,28.73
"370",0.71,"VVS2","0.71_VVS2",3107.16,57.3,5.73,5.75,3.54,61.6,116.63,26.64
"371",0.72,"I1","0.72_I1",1086,58,5.72,5.6,3.61,63.87,115.64,9.39
"372",0.72,"IF","0.72_IF",3304.5,57,5.76,5.78,3.55,61.46,118.19,27.96
"373",0.72,"SI1","0.72_SI1",2510.62,57.22,5.75,5.76,3.56,61.82,117.91,21.29
"374",0.72,"SI2","0.72_SI2",2239.64,57.26,5.75,5.75,3.55,61.77,117.37,19.08
"375",0.72,"VS1","0.72_VS1",2976.19,56.93,5.75,5.76,3.56,61.78,117.91,25.24
"376",0.72,"VS2","0.72_VS2",2786.42,57.23,5.75,5.76,3.56,61.79,117.91,23.63
"377",0.72,"VVS1","0.72_VVS1",3394.88,56.89,5.75,5.77,3.55,61.64,117.78,28.82
"378",0.72,"VVS2","0.72_VVS2",3071.63,57.14,5.76,5.78,3.55,61.55,118.19,25.99
"379",0.73,"I1","0.73_I1",1247.11,57.22,5.73,5.64,3.63,63.9,117.31,10.63
"380",0.73,"IF","0.73_IF",3652.5,55.67,5.78,5.81,3.58,61.83,120.22,30.38
"381",0.73,"SI1","0.73_SI1",2612.48,57.25,5.79,5.8,3.57,61.59,119.89,21.79
"382",0.73,"SI2","0.73_SI2",2286.63,57.79,5.8,5.79,3.56,61.39,119.55,19.13
"383",0.73,"VS1","0.73_VS1",3059.77,57.55,5.79,5.8,3.56,61.48,119.55,25.59
"384",0.73,"VS2","0.73_VS2",2896.18,57.04,5.79,5.79,3.57,61.63,119.68,24.2
"385",0.73,"VVS1","0.73_VVS1",3648.04,56.67,5.78,5.8,3.57,61.65,119.68,30.48
"386",0.73,"VVS2","0.73_VVS2",3172.93,56.82,5.79,5.8,3.57,61.58,119.89,26.47
"387",0.74,"I1","0.74_I1",1865,65,6.03,5.89,3.47,58.2,123.24,15.13
"388",0.74,"IF","0.74_IF",3343,55.98,5.81,5.84,3.57,61.3,121.13,27.6
"389",0.74,"SI1","0.74_SI1",2602.99,57.68,5.8,5.81,3.58,61.74,120.64,21.58
"390",0.74,"SI2","0.74_SI2",2382.49,57.65,5.81,5.81,3.58,61.66,120.85,19.71
"391",0.74,"VS1","0.74_VS1",3056.12,56.99,5.81,5.81,3.59,61.83,121.18,25.22
"392",0.74,"VS2","0.74_VS2",2889,57.3,5.81,5.82,3.58,61.64,121.05,23.87
"393",0.74,"VVS1","0.74_VVS1",3493.62,57.1,5.81,5.84,3.58,61.56,121.47,28.76
"394",0.74,"VVS2","0.74_VVS2",3466.42,56.46,5.8,5.82,3.59,61.85,121.18,28.61
"395",0.75,"I1","0.75_I1",1013,59,5.78,5.62,3.66,64,118.89,8.52
"396",0.75,"SI1","0.75_SI1",2709.98,57.46,5.83,5.83,3.6,61.76,122.36,22.15
"397",0.75,"SI2","0.75_SI2",2378.29,57.49,5.84,5.84,3.6,61.62,122.78,19.37
"398",0.75,"VS1","0.75_VS1",2969.03,57.97,5.84,5.85,3.6,61.59,122.99,24.14
"399",0.75,"VS2","0.75_VS2",2935.09,57.36,5.86,5.85,3.6,61.45,123.41,23.78
"400",0.75,"VVS1","0.75_VVS1",3710.4,57.8,5.83,5.88,3.58,61.16,122.72,30.23
"401",0.75,"VVS2","0.75_VVS2",3593.08,56.34,5.83,5.84,3.6,61.68,122.57,29.31
"402",0.76,"I1","0.76_I1",1384.5,56,5.81,5.75,3.69,63.75,123.27,11.23
"403",0.76,"IF","0.76_IF",3918,58.14,5.85,5.87,3.61,61.64,123.97,31.6
"404",0.76,"SI1","0.76_SI1",2656.47,57.46,5.86,5.87,3.62,61.71,124.52,21.33
"405",0.76,"SI2","0.76_SI2",2462.46,57.48,5.88,5.89,3.6,61.21,124.68,19.75
"406",0.76,"VS1","0.76_VS1",3160.86,57.92,5.88,5.88,3.6,61.14,124.47,25.39
"407",0.76,"VS2","0.76_VS2",3039.68,56.98,5.87,5.88,3.62,61.59,124.95,24.33
"408",0.76,"VVS1","0.76_VVS1",3764.09,56.15,5.87,5.89,3.61,61.38,124.81,30.16
"409",0.76,"VVS2","0.76_VVS2",3389.94,57.19,5.84,5.87,3.62,61.78,124.1,27.32
"410",0.77,"SI1","0.77_SI1",2742.39,57.79,5.89,5.89,3.63,61.58,125.93,21.78
"411",0.77,"SI2","0.77_SI2",2466.27,57.41,5.9,5.9,3.63,61.51,126.36,19.52
"412",0.77,"VS1","0.77_VS1",3126.94,57.42,5.87,5.89,3.64,61.84,125.85,24.85
"413",0.77,"VS2","0.77_VS2",2981.93,57.7,5.88,5.89,3.63,61.71,125.72,23.72
"414",0.77,"VVS1","0.77_VVS1",3924.67,56.5,5.86,5.91,3.64,61.92,126.06,31.13
"415",0.77,"VVS2","0.77_VVS2",3346.69,58.3,5.88,5.88,3.61,61.42,124.81,26.81
"416",0.78,"SI1","0.78_SI1",2814.76,57.55,5.91,5.92,3.64,61.61,127.35,22.1
"417",0.78,"SI2","0.78_SI2",2387.61,57.02,5.9,5.91,3.65,61.8,127.27,18.76
"418",0.78,"VS1","0.78_VS1",3421.38,56.42,5.92,5.93,3.65,61.61,128.14,26.7
"419",0.78,"VS2","0.78_VS2",3208.73,56.96,5.91,5.92,3.65,61.7,127.7,25.13
"420",0.78,"VVS1","0.78_VVS1",4904,60,5.86,5.92,3.61,61.3,125.24,39.16
"421",0.78,"VVS2","0.78_VVS2",3169.75,55.75,5.89,5.92,3.66,61.9,127.62,24.84
"422",0.79,"IF","0.79_IF",4046,56,5.96,5.98,3.66,61.3,130.45,31.02
"423",0.79,"SI1","0.79_SI1",2865.49,57.14,5.93,5.93,3.66,61.78,128.7,22.26
"424",0.79,"SI2","0.79_SI2",2576,57.65,5.94,5.92,3.66,61.82,128.7,20.02
"425",0.79,"VS1","0.79_VS1",3392.53,57.35,5.95,5.97,3.66,61.31,130.01,26.09
"426",0.79,"VS2","0.79_VS2",3082.67,57.62,5.96,5.96,3.64,61.11,129.3,23.84
"427",0.79,"VVS1","0.79_VVS1",4277.8,58.2,5.89,5.89,3.68,62.44,127.67,33.51
"428",0.79,"VVS2","0.79_VVS2",3600,56.48,5.92,5.94,3.68,62.12,129.41,27.82
"429",0.8,"I1","0.8_I1",1432.33,55.33,5.87,5.77,3.76,64.57,127.35,11.25
"430",0.8,"IF","0.8_IF",4724.57,56.71,5.93,5.95,3.69,62.17,130.2,36.29
"431",0.8,"SI1","0.8_SI1",2967.74,57.46,5.95,5.94,3.68,61.94,130.06,22.82
"432",0.8,"SI2","0.8_SI2",2633.15,57.25,5.95,5.95,3.67,61.75,129.93,20.27
"433",0.8,"VS1","0.8_VS1",3524.3,56.92,5.93,5.95,3.69,62.07,130.2,27.07
"434",0.8,"VS2","0.8_VS2",3286.76,57.06,5.94,5.95,3.69,62.02,130.42,25.2
"435",0.8,"VVS1","0.8_VVS1",3779.5,56.75,5.92,5.91,3.67,62.08,128.4,29.44
"436",0.8,"VVS2","0.8_VVS2",4404.42,56.75,5.93,5.95,3.7,62.26,130.55,33.74
"437",0.81,"I1","0.81_I1",2608,59,5.89,5.85,3.76,64.1,129.56,20.13
"438",0.81,"IF","0.81_IF",5066.67,55.67,5.96,6.02,3.7,61.83,132.75,38.17
"439",0.81,"SI1","0.81_SI1",2995.21,57.33,5.98,6,3.7,61.79,132.76,22.56
"440",0.81,"SI2","0.81_SI2",2653.58,57.73,5.95,5.95,3.69,62.06,130.64,20.31
"441",0.81,"VS1","0.81_VS1",3428.07,56.89,5.95,5.96,3.71,62.3,131.56,26.06
"442",0.81,"VS2","0.81_VS2",3163.4,57.59,5.97,5.97,3.7,61.85,131.87,23.99
"443",0.81,"VVS1","0.81_VVS1",5752,54,5.95,5.98,3.73,62.5,132.72,43.34
"444",0.81,"VVS2","0.81_VVS2",4034.75,56.16,5.92,5.94,3.72,62.77,130.81,30.84
"445",0.82,"IF","0.82_IF",4034,58.5,6,6,3.69,61.55,132.84,30.37
"446",0.82,"SI1","0.82_SI1",3032.12,56.92,6,6.01,3.71,61.82,133.78,22.66
"447",0.82,"SI2","0.82_SI2",2731.73,57.41,6.02,6.01,3.7,61.56,133.87,20.41
"448",0.82,"VS1","0.82_VS1",3123.53,56.86,6,6.01,3.72,61.92,134.14,23.29
"449",0.82,"VS2","0.82_VS2",3509.08,57.7,6,6.02,3.7,61.61,133.64,26.26
"450",0.82,"VVS1","0.82_VVS1",3431.5,57,5.97,5.95,3.74,62.85,132.85,25.83
"451",0.82,"VVS2","0.82_VVS2",4017.33,57,5.96,6.01,3.73,62.2,133.61,30.07
"452",0.83,"IF","0.83_IF",7889,53,6.14,6.23,3.69,59.7,141.15,55.89
"453",0.83,"SI1","0.83_SI1",3167.1,57.15,6.02,6.03,3.73,61.94,135.4,23.39
"454",0.83,"SI2","0.83_SI2",2652,57.22,6.03,6.02,3.73,61.88,135.4,19.59
"455",0.83,"VS1","0.83_VS1",4100.92,57.13,6.04,6.06,3.72,61.48,136.16,30.12
"456",0.83,"VS2","0.83_VS2",3208.73,56.99,6.02,6.03,3.72,61.87,135.04,23.76
"457",0.83,"VVS1","0.83_VVS1",4038.25,56.25,6,6.04,3.74,62.2,135.54,29.79
"458",0.84,"I1","0.84_I1",1749,64,6.05,6.03,3.67,60.8,133.89,13.06
"459",0.84,"SI1","0.84_SI1",3310.25,57.31,6.08,6.1,3.73,61.26,138.34,23.93
"460",0.84,"SI2","0.84_SI2",2801.59,57.29,6.04,6.04,3.75,62.15,136.81,20.48
"461",0.84,"VS1","0.84_VS1",3613,57.85,6.08,6.09,3.72,61.13,137.74,26.23
"462",0.84,"VS2","0.84_VS2",3246.58,57.35,6.01,6.01,3.76,62.62,135.81,23.91
"463",0.84,"VVS1","0.84_VVS1",6399,54,6.04,6.08,3.76,62,138.08,46.34
"464",0.84,"VVS2","0.84_VVS2",4053,58.75,6.09,6.11,3.7,60.73,137.68,29.44
"465",0.85,"I1","0.85_I1",1421.86,57.86,6.01,5.87,3.85,64.8,135.82,10.47
"466",0.85,"SI1","0.85_SI1",3260.62,57.19,6.07,6.08,3.76,61.92,138.77,23.5
"467",0.85,"SI2","0.85_SI2",3005.67,57.17,6.1,6.09,3.74,61.43,138.94,21.63
"468",0.85,"VS1","0.85_VS1",3705.29,57.29,6.1,6.08,3.75,61.66,139.08,26.64
"469",0.85,"VS2","0.85_VS2",3501.42,57.08,6.09,6.1,3.73,61.25,138.57,25.27
"470",0.85,"VVS1","0.85_VVS1",7230,56,6.05,6.11,3.77,62,139.36,51.88
"471",0.85,"VVS2","0.85_VVS2",4490.5,60,6.12,6.12,3.74,61.2,140.08,32.06
"472",0.86,"I1","0.86_I1",1828,56,6.11,6.03,3.8,62.6,140,13.06
"473",0.86,"SI1","0.86_SI1",3397.22,57.11,6.07,6.08,3.78,62.14,139.5,24.35
"474",0.86,"SI2","0.86_SI2",2970.69,58.15,6.14,6.13,3.76,61.25,141.52,20.99
"475",0.86,"VS1","0.86_VS1",3693.67,57.93,6.03,6.1,3.8,62.67,139.78,26.42
"476",0.86,"VS2","0.86_VS2",3530.5,55.68,6.06,6.07,3.82,63,140.52,25.12
"477",0.86,"VVS1","0.86_VVS1",5029,53,6.02,6.12,3.89,64.3,143.32,35.09
"478",0.86,"VVS2","0.86_VVS2",3544,58,6.07,6.1,3.74,61.4,138.48,25.59
"479",0.87,"I1","0.87_I1",1998.5,57.5,6.17,6.12,3.7,60.3,139.71,14.3
"480",0.87,"SI1","0.87_SI1",3408.08,57.23,6.12,6.12,3.78,61.76,141.58,24.07
"481",0.87,"SI2","0.87_SI2",3009.7,57.3,6.14,6.14,3.78,61.47,142.5,21.12
"482",0.87,"VS1","0.87_VS1",5640,55,6.1,6.13,3.79,62,141.72,39.8
"483",0.87,"VS2","0.87_VS2",3830.17,57.17,6.16,6.19,3.75,60.73,142.99,26.79
"484",0.88,"SI1","0.88_SI1",3131.89,58.33,6.16,6.18,3.77,61.19,143.52,21.82
"485",0.88,"SI2","0.88_SI2",3490,57.6,6.14,6.19,3.78,61.32,143.66,24.29
"486",0.88,"VS1","0.88_VS1",2960.33,55.33,6.12,6.06,3.81,62.67,141.3,20.95
"487",0.88,"VS2","0.88_VS2",3754.25,59.5,6.23,6.21,3.78,60.77,146.24,25.67
"488",0.88,"VVS1","0.88_VVS1",4334,59,6.12,6.13,3.8,62,142.56,30.4
"489",0.88,"VVS2","0.88_VVS2",5052,59,6.09,6.13,3.79,62,141.49,35.71
"490",0.89,"I1","0.89_I1",1334,66,6.21,6.09,3.62,58.8,136.9,9.74
"491",0.89,"SI1","0.89_SI1",3745.75,56.25,6.15,6.12,3.84,62.55,144.53,25.92
"492",0.89,"SI2","0.89_SI2",3186.7,59.69,6.14,6.16,3.79,61.57,143.35,22.23
"493",0.89,"VS1","0.89_VS1",2926,62,6.06,5.98,3.82,63.63,138.43,21.14
"494",0.89,"VS2","0.89_VS2",4046,55,6.14,6.19,3.84,62.3,145.95,27.72
"495",0.89,"VVS2","0.89_VVS2",4062,55,6.22,6.19,3.83,61.7,147.46,27.55
"496",0.9,"I1","0.9_I1",2107.47,60.05,6.13,6.08,3.83,62.71,142.75,14.76
"497",0.9,"IF","0.9_IF",5581.25,58.67,6.12,6.13,3.84,62.73,144.06,38.74
"498",0.9,"SI1","0.9_SI1",3905.51,58.51,6.14,6.15,3.83,62.31,144.62,27.01
"499",0.9,"SI2","0.9_SI2",3436.87,58.43,6.15,6.15,3.82,62.17,144.48,23.79
"500",0.9,"VS1","0.9_VS1",4372.34,57.69,6.14,6.15,3.83,62.41,144.62,30.23
"501",0.9,"VS2","0.9_VS2",4154.16,58.57,6.15,6.16,3.82,62.16,144.72,28.7
"502",0.9,"VVS1","0.9_VVS1",5129.97,58.07,6.11,6.13,3.84,62.79,143.82,35.67
"503",0.9,"VVS2","0.9_VVS2",4848.2,58.59,6.15,6.16,3.81,61.94,144.34,33.59
"504",0.91,"I1","0.91_I1",2196.38,59.62,6.18,6.16,3.8,61.75,144.66,15.18
"505",0.91,"SI1","0.91_SI1",4002.04,58.14,6.17,6.17,3.85,62.4,146.57,27.3
"506",0.91,"SI2","0.91_SI2",3552.17,58.26,6.19,6.19,3.83,61.92,146.75,24.21
"507",0.91,"VS1","0.91_VS1",4451.21,57.87,6.19,6.18,3.85,62.22,147.28,30.22
"508",0.91,"VS2","0.91_VS2",4181.05,58.36,6.19,6.19,3.84,62.01,147.13,28.42
"509",0.91,"VVS1","0.91_VVS1",5667.2,59.6,6.24,6.26,3.8,60.64,148.44,38.18
"510",0.91,"VVS2","0.91_VVS2",5237.29,58.05,6.15,6.16,3.85,62.61,145.85,35.91
"511",0.92,"I1","0.92_I1",2659.67,58,6.2,6.19,3.86,62.23,148.14,17.95
"512",0.92,"IF","0.92_IF",5758,55,6.25,6.3,3.92,62.5,154.35,37.3
"513",0.92,"SI1","0.92_SI1",4048.49,57.67,6.22,6.22,3.86,62.1,149.34,27.11
"514",0.92,"SI2","0.92_SI2",3692.45,58.34,6.24,6.23,3.85,61.72,149.67,24.67
"515",0.92,"VS1","0.92_VS1",4661.83,59.3,6.25,6.26,3.83,61.25,149.85,31.11
"516",0.92,"VS2","0.92_VS2",4307,58.22,6.24,6.24,3.85,61.71,149.91,28.73
"517",0.92,"VVS1","0.92_VVS1",4909,56.5,6.22,6.19,3.86,62.25,148.62,33.03
"518",0.92,"VVS2","0.92_VVS2",5590,57.5,6.22,6.26,3.84,61.6,149.52,37.39
"519",0.93,"I1","0.93_I1",2531.8,59.6,6.22,6.21,3.86,62.12,149.1,16.98
"520",0.93,"IF","0.93_IF",5879,58,6.25,6.22,3.88,62.2,150.84,38.98
"521",0.93,"SI1","0.93_SI1",4178.33,57.54,6.25,6.26,3.86,61.79,151.02,27.67
"522",0.93,"SI2","0.93_SI2",3727.69,57.84,6.25,6.25,3.86,61.87,150.78,24.72
"523",0.93,"VS1","0.93_VS1",4192.31,57.69,6.24,6.23,3.87,62.15,150.45,27.87
"524",0.93,"VS2","0.93_VS2",4142.67,59.21,6.26,6.25,3.86,61.72,151.02,27.43
"525",0.94,"I1","0.94_I1",2582.5,55,6.36,6.36,3.91,61.5,158.16,16.33
"526",0.94,"SI1","0.94_SI1",4529.89,58.22,6.32,6.3,3.86,61.27,153.69,29.47
"527",0.94,"SI2","0.94_SI2",3782.03,57.94,6.26,6.27,3.88,61.94,152.29,24.83
"528",0.94,"VS1","0.94_VS1",5980,58,6.34,6.28,3.93,62.3,156.47,38.22
"529",0.94,"VS2","0.94_VS2",5009.8,58.32,6.26,6.29,3.85,61.36,151.6,33.05
"530",0.94,"VVS1","0.94_VVS1",6288,57.5,6.22,6.2,3.91,62.85,150.79,41.7
"531",0.95,"I1","0.95_I1",2258.5,57.5,6.24,6.19,3.94,63.3,152.18,14.84
"532",0.95,"IF","0.95_IF",6951,59,6.36,6.43,3.82,59.8,156.22,44.49
